Date,Open,High,Low,Close,Volume
9-Jun-16,234.98,235.33,227.06,229.36,4492075
8-Jun-16,233.80,240.84,232.60,235.52,5971995
7-Jun-16,222.24,234.44,221.52,232.34,6213573
6-Jun-16,218.00,220.90,215.45,220.68,2249508
3-Jun-16,220.00,221.94,218.01,218.99,2228970
2-Jun-16,219.59,219.91,217.11,218.96,2032832
1-Jun-16,221.48,222.40,216.89,219.56,2982695
31-May-16,223.04,224.75,221.50,223.23,2789002
27-May-16,224.99,225.93,220.75,223.04,3642740
26-May-16,220.50,225.26,219.05,225.12,4064013
25-May-16,217.91,221.36,216.51,219.58,3126822
24-May-16,216.60,218.74,215.18,217.91,3008774
23-May-16,219.87,222.60,215.86,216.22,5093158
20-May-16,216.99,220.55,216.35,220.28,8951773
19-May-16,213.62,216.79,207.30,215.21,6811976
18-May-16,209.15,215.31,207.75,211.17,5384698
17-May-16,209.05,209.82,204.02,204.66,2841168
16-May-16,208.15,213.15,207.92,208.29,2945072
13-May-16,207.78,211.20,206.70,207.61,2819264
12-May-16,211.44,211.67,203.66,207.28,3646943
11-May-16,207.59,215.48,206.05,208.96,5153730
10-May-16,207.55,209.47,205.00,208.69,4065214
9-May-16,215.72,216.15,206.80,208.92,4758131
6-May-16,210.87,216.37,208.11,214.93,5681078
5-May-16,228.46,228.64,209.79,211.53,11235835
4-May-16,230.29,234.46,220.40,222.56,8262540
3-May-16,237.36,238.91,231.62,232.32,4289174
2-May-16,241.50,243.19,234.82,241.80,3836429
29-Apr-16,248.14,248.43,237.81,240.76,5388701
28-Apr-16,249.85,253.43,247.44,247.71,2509509
27-Apr-16,252.75,255.00,249.40,251.47,3190682
26-Apr-16,252.05,255.73,249.39,253.74,3212470
25-Apr-16,253.01,257.38,250.76,251.82,3664293
22-Apr-16,248.89,254.00,245.71,253.75,3774648
21-Apr-16,248.99,250.90,246.91,248.29,2783059
20-Apr-16,246.26,253.66,241.50,249.97,5190831
19-Apr-16,253.12,254.37,241.25,247.37,6349403
18-Apr-16,252.23,258.31,251.66,253.88,4261782
15-Apr-16,251.31,254.60,249.12,254.51,3742018
14-Apr-16,253.00,256.84,251.05,251.86,4119980
13-Apr-16,248.51,255.50,247.33,254.53,4917930
12-Apr-16,249.50,251.80,243.63,247.82,5750757
11-Apr-16,251.00,258.99,245.30,249.92,9153901
8-Apr-16,260.50,260.82,248.02,250.07,7332157
7-Apr-16,266.45,269.34,254.51,257.20,8836815
6-Apr-16,253.97,267.74,253.45,265.42,11679883
5-Apr-16,240.50,256.56,240.00,255.47,9915160
4-Apr-16,249.12,252.12,243.64,246.99,13289584
1-Apr-16,244.82,247.90,233.25,237.59,15962015
31-Mar-16,229.34,237.42,225.01,229.77,7956740
30-Mar-16,235.09,235.50,226.50,226.89,4019667
29-Mar-16,229.89,232.38,225.33,230.13,4004940
28-Mar-16,231.61,234.81,225.00,230.26,3875451
24-Mar-16,215.78,228.89,215.00,227.75,4954411
23-Mar-16,232.37,234.73,222.03,222.58,4921013
22-Mar-16,237.21,238.99,232.56,234.24,4300628
21-Mar-16,235.34,239.88,235.00,238.32,5286697
18-Mar-16,229.10,234.48,228.06,232.74,4698180
17-Mar-16,221.47,228.50,220.00,226.38,3754756
16-Mar-16,218.00,222.58,217.02,221.93,3462107
15-Mar-16,214.27,218.97,211.50,218.34,3180452
14-Mar-16,212.65,216.72,210.64,215.15,4054723
11-Mar-16,207.93,209.42,205.33,207.50,3300358
10-Mar-16,210.00,213.29,200.67,205.18,5183177
9-Mar-16,204.52,209.37,202.79,208.72,3160081
8-Mar-16,203.50,207.50,202.20,202.60,4130816
7-Mar-16,197.68,209.70,197.40,205.29,5329369
4-Mar-16,198.00,204.03,197.50,201.04,6469772
3-Mar-16,188.28,197.42,184.22,195.74,4820497
2-Mar-16,183.73,188.52,181.50,188.34,4832986
1-Mar-16,194.25,195.95,182.70,186.35,6701674
29-Feb-16,192.40,196.35,189.22,191.93,4479719
26-Feb-16,188.70,192.00,185.00,190.34,6052910
25-Feb-16,178.65,188.52,175.20,187.43,5720514
24-Feb-16,172.75,179.50,167.84,179.00,5380712
23-Feb-16,176.16,181.73,173.68,177.21,5968028
22-Feb-16,170.12,178.91,169.85,177.74,5051180
19-Feb-16,163.66,167.49,162.50,166.58,2952880
18-Feb-16,172.42,172.95,164.77,166.77,3785336
17-Feb-16,159.00,169.34,156.68,168.68,5807071
16-Feb-16,158.70,162.95,154.11,155.17,5556314
12-Feb-16,155.00,157.01,143.70,151.04,7202970
11-Feb-16,152.00,163.26,147.00,150.47,14231392
10-Feb-16,150.50,154.97,141.74,143.67,9067292
9-Feb-16,142.32,159.79,141.05,148.25,8575099
8-Feb-16,157.10,157.15,146.00,147.99,9297941
5-Feb-16,171.30,173.00,157.74,162.60,9426933
4-Feb-16,170.70,175.98,166.99,175.33,4363924
3-Feb-16,183.59,183.94,170.18,173.48,7879454
2-Feb-16,192.42,193.12,180.23,182.78,5762855
1-Feb-16,188.76,199.52,182.75,196.94,5293766
29-Jan-16,189.95,193.74,188.08,191.20,2841003
28-Jan-16,190.79,191.28,182.41,189.70,4581652
27-Jan-16,192.38,193.26,185.77,188.07,3565378
26-Jan-16,196.70,197.82,188.88,193.56,4946841
25-Jan-16,200.06,203.57,195.88,196.38,2694564
22-Jan-16,204.80,205.50,199.03,202.55,3120106
21-Jan-16,201.55,203.23,195.02,199.97,3163432
20-Jan-16,199.40,201.28,191.25,198.70,5825431
19-Jan-16,208.71,210.47,200.78,204.72,3997509
15-Jan-16,198.97,205.07,197.25,204.99,5322235
14-Jan-16,202.21,210.00,193.38,206.18,6452623
13-Jan-16,212.01,212.65,200.00,200.31,4039093
12-Jan-16,211.60,213.74,205.31,209.97,3091917
11-Jan-16,214.01,214.45,203.00,207.85,4091422
8-Jan-16,217.86,220.44,210.77,211.00,3628058
7-Jan-16,214.19,218.44,213.67,215.65,3554251
6-Jan-16,220.00,220.05,215.98,219.04,3779128
5-Jan-16,226.36,226.89,220.00,223.43,3186752
4-Jan-16,230.72,231.38,219.00,223.41,6819737
31-Dec-15,238.51,243.45,238.37,240.01,2715038
30-Dec-15,236.60,243.63,235.67,238.09,3697921
29-Dec-15,230.06,237.72,229.55,237.19,2406290
28-Dec-15,231.49,231.98,225.54,228.95,1901304
24-Dec-15,230.56,231.88,228.28,230.57,710277
23-Dec-15,232.18,233.45,228.13,229.70,1554979
22-Dec-15,234.99,236.55,229.63,229.95,1961495
21-Dec-15,231.69,235.83,231.08,232.56,1953174
18-Dec-15,232.89,235.90,229.29,230.46,3014170
17-Dec-15,233.94,237.76,229.81,233.39,3298638
16-Dec-15,222.10,234.88,220.73,234.51,5104341
15-Dec-15,221.82,222.22,218.00,221.09,2244424
14-Dec-15,217.51,220.92,214.87,218.58,2827068
11-Dec-15,225.24,225.75,216.64,217.02,3268726
10-Dec-15,224.71,228.49,223.64,227.07,2071692
9-Dec-15,226.70,227.50,220.72,224.52,3057753
8-Dec-15,227.52,228.80,224.20,226.72,2687636
7-Dec-15,227.70,235.63,226.15,231.13,3144223
4-Dec-15,232.46,233.27,227.66,230.38,2573603
3-Dec-15,235.48,237.45,230.00,232.71,2939564
2-Dec-15,237.00,238.60,231.23,231.99,2975721
1-Dec-15,231.06,238.00,231.05,237.19,3728287
30-Nov-15,231.79,234.28,229.08,230.26,2585753
27-Nov-15,231.06,232.25,227.01,231.61,1949127
25-Nov-15,221.34,230.82,220.38,229.64,3990779
24-Nov-15,215.37,221.00,215.00,218.25,2452304
23-Nov-15,217.35,219.18,214.68,217.75,2524994
20-Nov-15,223.49,225.00,213.58,220.01,4388932
19-Nov-15,220.54,226.19,220.30,221.80,2499363
18-Nov-15,214.50,221.38,212.52,221.07,2805192
17-Nov-15,215.20,216.00,211.40,214.00,2143269
16-Nov-15,206.09,214.98,205.80,214.31,2917082
13-Nov-15,212.95,212.99,206.52,207.19,3412083
12-Nov-15,217.85,219.00,212.66,212.94,2910023
11-Nov-15,217.77,219.48,213.63,219.08,3334955
10-Nov-15,223.48,223.70,216.08,216.50,4568414
9-Nov-15,232.99,232.99,224.31,225.33,3843824
6-Nov-15,230.70,233.36,229.50,232.36,2443465
5-Nov-15,230.58,234.58,229.19,231.77,4493263
4-Nov-15,230.68,232.74,225.20,231.63,12706650
3-Nov-15,210.00,214.44,207.75,208.35,7141113
2-Nov-15,208.92,215.80,207.22,213.79,3919308
30-Oct-15,210.40,211.63,203.89,206.93,4372936
29-Oct-15,211.75,213.75,210.64,211.63,1782358
28-Oct-15,211.31,213.45,208.30,212.96,2672551
27-Oct-15,214.84,217.10,207.51,210.35,3500711
26-Oct-15,211.38,215.88,210.00,215.26,3387107
23-Oct-15,215.00,215.35,207.69,209.09,4142080
22-Oct-15,211.56,215.75,209.40,211.72,2809155
21-Oct-15,211.99,214.81,208.80,210.09,4151463
20-Oct-15,227.72,228.60,202.00,213.03,14863266
19-Oct-15,226.50,231.15,224.94,228.10,2499326
16-Oct-15,223.04,230.48,222.87,227.01,4320797
15-Oct-15,216.43,221.73,213.70,221.31,2833931
14-Oct-15,220.67,220.95,215.43,216.88,3086784
13-Oct-15,213.28,222.52,211.13,219.25,5162453
12-Oct-15,222.99,223.00,215.27,215.58,3803779
9-Oct-15,220.93,224.37,218.36,220.69,6150458
8-Oct-15,230.08,230.72,221.31,226.72,6119688
7-Oct-15,236.63,237.70,229.12,231.96,6803172
6-Oct-15,240.00,243.03,235.58,241.46,5225174
5-Oct-15,248.84,249.84,244.13,246.15,3678195
2-Oct-15,235.60,247.70,234.93,247.57,4390140
1-Oct-15,247.51,248.50,237.13,239.88,4566941
30-Sep-15,252.00,252.40,242.34,248.40,4923331
29-Sep-15,250.46,254.73,245.46,246.65,3693383
28-Sep-15,257.35,259.79,246.61,248.43,4892501
25-Sep-15,266.61,266.91,256.15,256.91,3767096
24-Sep-15,259.53,263.45,256.21,263.12,3442247
23-Sep-15,261.95,262.08,257.58,261.06,2594257
22-Sep-15,259.03,262.65,255.87,260.94,3657582
21-Sep-15,263.98,271.57,255.80,264.20,6110390
18-Sep-15,257.96,263.82,257.50,260.62,3739826
17-Sep-15,263.96,265.50,260.69,262.07,3574923
16-Sep-15,253.04,262.88,252.88,262.25,4404454
15-Sep-15,252.75,254.60,249.50,253.57,2929278
14-Sep-15,251.10,254.25,249.67,253.19,2883100
11-Sep-15,247.64,250.24,244.73,250.24,2342654
10-Sep-15,247.23,250.72,245.33,248.48,2705437
9-Sep-15,252.05,254.25,248.30,248.91,3384661
8-Sep-15,245.05,249.16,244.05,248.17,3120348
4-Sep-15,240.89,244.09,238.20,241.93,3682146
3-Sep-15,252.06,252.08,245.00,245.57,4131503
2-Sep-15,245.30,247.88,239.78,247.69,4584918
1-Sep-15,240.34,246.00,236.97,238.63,5437046
31-Aug-15,245.62,254.95,245.51,249.06,4680798
28-Aug-15,241.86,251.45,241.57,248.48,5495169
27-Aug-15,231.00,244.75,230.81,242.99,7642840
26-Aug-15,227.93,228.00,215.51,224.84,4948119
25-Aug-15,230.52,230.90,219.12,220.03,4304953
24-Aug-15,202.79,231.40,195.00,218.87,9565541
21-Aug-15,236.00,243.80,230.51,230.77,6564012
20-Aug-15,252.06,254.56,241.90,242.18,4887192
19-Aug-15,260.33,260.65,255.02,255.25,3604282
18-Aug-15,255.38,260.95,253.56,260.72,4195035
17-Aug-15,255.56,256.59,250.51,254.99,7176690
14-Aug-15,247.24,247.93,241.77,243.15,4364810
13-Aug-15,239.86,246.48,239.12,242.51,4689182
12-Aug-15,235.00,239.77,232.74,238.17,3739157
11-Aug-15,237.15,239.30,234.44,237.37,4264939
10-Aug-15,238.15,242.97,236.05,241.14,4185860
7-Aug-15,243.58,243.73,238.39,242.51,5073390
6-Aug-15,249.54,255.00,236.12,246.13,14623754
5-Aug-15,263.58,271.00,260.40,270.13,6214319
4-Aug-15,260.01,266.72,258.34,266.28,2352530
3-Aug-15,266.29,266.71,257.07,259.99,2553474
31-Jul-15,267.60,269.36,265.12,266.15,2222552
30-Jul-15,262.69,266.94,262.11,266.79,2034560
29-Jul-15,264.27,267.89,262.00,263.82,2790095
28-Jul-15,255.75,265.40,251.84,264.82,3895808
27-Jul-15,262.43,264.43,250.79,253.01,4694192
24-Jul-15,267.38,271.09,263.92,265.41,2836498
23-Jul-15,269.65,269.90,265.27,267.20,2227239
22-Jul-15,261.27,269.44,260.86,267.87,3104960
21-Jul-15,270.05,273.50,266.55,266.77,6108686
20-Jul-15,275.00,286.65,272.54,282.26,4978454
17-Jul-15,272.50,275.54,268.25,274.66,5004099
16-Jul-15,264.22,267.20,263.16,266.68,1615961
15-Jul-15,266.74,267.49,262.08,263.14,2021621
14-Jul-15,262.10,265.99,260.51,265.65,1907641
13-Jul-15,262.25,262.55,256.05,262.16,2960319
10-Jul-15,262.22,263.00,257.82,259.15,2610858
9-Jul-15,259.08,262.95,256.79,257.92,3334077
8-Jul-15,259.32,260.80,254.31,254.96,6221077
7-Jul-15,275.00,275.20,260.77,267.88,6105126
6-Jul-15,278.88,281.69,276.30,279.72,4121933
2-Jul-15,280.20,282.45,273.31,280.02,7163930
1-Jul-15,271.11,272.62,267.85,269.15,2101224
30-Jun-15,264.80,270.92,264.00,268.26,3086935
29-Jun-15,261.95,265.95,260.70,262.02,3478909
26-Jun-15,268.89,269.11,266.00,267.09,3838434
25-Jun-15,266.45,271.41,265.25,268.79,2849204
24-Jun-15,266.98,267.35,263.72,265.17,2412293
23-Jun-15,260.32,268.00,258.57,267.67,3870818
22-Jun-15,262.15,264.40,255.69,259.79,4561079
19-Jun-15,262.40,263.80,260.10,262.51,2463013
18-Jun-15,262.00,263.46,260.02,261.89,2782703
17-Jun-15,252.17,264.36,252.02,260.41,5512920
16-Jun-15,250.13,253.44,249.10,253.12,1984678
15-Jun-15,249.70,251.28,246.01,250.38,2186175
12-Jun-15,250.21,253.46,250.21,250.69,1422335
11-Jun-15,253.26,254.37,250.43,251.41,2044058
10-Jun-15,251.90,254.00,248.50,250.70,3454453
9-Jun-15,255.40,257.74,254.14,256.00,2611146
8-Jun-15,250.85,258.75,250.31,256.29,5016997
5-Jun-15,246.00,249.70,245.68,249.14,3022026
4-Jun-15,247.50,249.30,245.71,245.92,2453615
3-Jun-15,248.20,250.72,247.01,248.99,1781505
2-Jun-15,248.92,249.40,246.30,248.35,2134809
1-Jun-15,251.41,251.60,247.47,249.45,2505057
29-May-15,251.00,252.87,249.43,250.80,3789283
28-May-15,247.03,251.80,245.05,251.45,3647283
27-May-15,248.51,249.50,245.55,247.43,3408200
